character,n_lines,avg_words_per_line,question_ratio,exclamation_ratio,ellipsis_ratio,vocabulary_richness
Alyx,166,14.33,0.223,0.392,0.03,0.43
Citizen,78,16.15,0.141,0.449,0.013,0.569
Dr. Kleiner,62,12.32,0.306,0.21,0.0,0.692
Barney,55,14.91,0.091,0.345,0.0,0.619
Eli,45,8.62,0.222,0.244,0.022,0.66
Dr. Mossman,43,17.58,0.209,0.209,0.023,0.633
Dr. Breen,42,22.52,0.214,0.238,0.071,0.765
Civil Patrol,19,4.47,0.105,0.316,0.053,0.773
Father Gregori,18,23.39,0.111,0.667,0.056,0.759
Resistance,10,21.0,0.3,0.6,0.0,0.791
Vortigaunt,9,9.67,0.0,0.111,0.0,0.864
Colonel Cubbage,4,40.0,0.25,0.5,0.0,0.881
G-Man,4,50.25,0.25,0.0,0.25,0.794
Radio,3,24.0,0.667,0.333,0.0,0.784
